xmin,ymin,xmax,ymax,label,confidence
73,0,103,27,135,0.6409521698951721
33,31,60,56,97,0.3286590874195099
174,212,204,239,89,0.6431306600570679
111,118,136,142,68,0.9644145965576172
94,131,120,155,30,0.9875001311302185
0,0,0,0,0,-1.0
73,0,103,28,135,0.6463795900344849
33,31,59,57,97,0.5456446409225464
175,215,206,241,89,0.41237616539001465
188,211,216,237,79,0.3172650635242462
111,118,135,142,68,0.9267061352729797
94,130,120,155,30,0.988042950630188
0,0,0,0,0,-1.0
73,0,103,28,135,0.5407541394233704
33,31,59,57,97,0.4408620595932007
174,212,204,238,89,0.36969807744026184
33,23,58,42,86,0.38451650738716125
110,118,136,143,68,0.9575517177581787
94,130,120,155,30,0.9876092672348022
33,31,59,57,18,0.38214990496635437
0,0,0,0,0,-1.0
73,0,103,28,135,0.6185357570648193
32,32,59,58,97,0.5782166719436646
172,215,200,240,89,0.734393298625946
34,22,58,43,86,0.539914071559906
188,211,216,237,79,0.34236860275268555
111,119,136,144,68,0.93635493516922
93,130,120,155,30,0.9852204918861389
0,0,0,0,0,-1.0
73,0,103,28,135,0.759890079498291
32,32,58,58,97,0.736007034778595
171,215,200,240,89,0.9191604852676392
34,23,59,43,86,0.7018607258796692
188,211,215,237,79,0.30113446712493896
111,120,137,144,68,0.9310330152511597
93,130,120,155,30,0.9852038621902466
0,0,0,0,0,-1.0
74,1,104,27,135,0.8227893710136414
31,33,57,58,97,0.7932614088058472
171,215,200,240,89,0.9590811133384705
34,22,58,44,86,0.5202699899673462
188,211,216,237,79,0.47891050577163696
111,120,137,144,68,0.9602334499359131
93,130,120,155,30,0.9850620627403259
0,0,0,0,0,-1.0
74,1,104,27,135,0.8922072052955627
32,34,56,59,97,0.492254376411438
171,215,198,240,89,0.9504765272140503
36,22,59,45,86,0.4816935062408447
189,212,215,237,79,0.32410120964050293
112,120,138,145,68,0.9561604261398315
94,130,120,154,30,0.980691134929657
0,0,0,0,0,-1.0
74,1,104,27,135,0.9095594882965088
36,22,59,44,133,0.27134376764297485
32,35,55,60,97,0.473253071308136
171,215,198,239,89,0.9142531752586365
35,22,59,45,86,0.4072006642818451
189,211,215,237,79,0.40979307889938354
112,119,138,144,68,0.9763187766075134
94,130,120,154,30,0.9805737137794495
0,0,0,0,0,-1.0
74,1,104,27,135,0.9409133195877075
31,35,56,60,97,0.3205682933330536
170,216,198,240,89,0.9931508898735046
36,22,58,45,86,0.6214699745178223
190,212,216,237,79,0.6837944388389587
112,119,139,145,68,0.9885140657424927
93,129,120,154,30,0.9938384294509888
0,0,0,0,0,-1.0
74,1,104,27,135,0.9430369138717651
31,36,55,60,97,0.37775498628616333
170,215,198,240,89,0.9620821475982666
36,21,58,45,86,0.6725642681121826
190,212,216,237,79,0.533267080783844
114,120,139,144,68,0.8849519491195679
92,129,119,154,30,0.9827095866203308
0,0,0,0,0,-1.0
73,1,103,27,135,0.9414646029472351
31,36,55,60,97,0.3461647629737854
170,216,198,241,89,0.9762330055236816
36,21,58,44,86,0.6534560322761536
191,212,217,237,79,0.7087512016296387
114,119,140,144,68,0.9488652944564819
92,129,119,153,30,0.9870078563690186
0,0,0,0,0,-1.0
73,1,103,27,135,0.8901287913322449
29,37,54,62,97,0.6200073957443237
170,216,196,241,89,0.9600541591644287
35,20,58,45,86,0.9179873466491699
114,120,140,144,68,0.8426985144615173
92,128,119,152,30,0.9826263189315796
0,0,0,0,0,-1.0
73,1,103,27,135,0.9053966403007507
29,38,53,61,97,0.7787794470787048
170,216,197,240,89,0.9574412107467651
35,19,58,45,86,0.9353563189506531
192,213,219,237,79,0.25290489196777344
116,119,141,143,68,0.8271903991699219
92,128,119,152,30,0.9946380257606506
0,0,0,0,0,-1.0
73,1,103,27,135,0.9153622984886169
29,38,54,62,97,0.6614298820495605
170,215,197,240,89,0.9780566692352295
35,19,57,43,86,0.9561365842819214
116,119,142,143,68,0.9286527633666992
92,128,119,152,30,0.9948706030845642
0,0,0,0,0,-1.0
73,1,103,27,135,0.8939376473426819
28,37,53,62,97,0.7716172933578491
170,215,197,239,89,0.9475917220115662
34,18,58,43,86,0.9649282693862915
116,119,141,143,68,0.9120068550109863
92,128,119,152,30,0.994810938835144
0,0,0,0,0,-1.0
73,1,103,27,135,0.7453758716583252
28,38,52,62,97,0.8078754544258118
170,216,199,240,89,0.6170570254325867
35,19,57,45,86,0.9763714671134949
117,119,142,142,68,0.8997664451599121
92,128,119,152,30,0.9927976727485657
0,0,0,0,0,-1.0
73,1,103,28,135,0.6705659627914429
27,38,51,63,97,0.8428642153739929
170,213,197,237,89,0.3096916377544403
34,18,58,44,86,0.9871530532836914
117,118,143,141,68,0.9523456692695618
92,128,119,152,30,0.9931132197380066
0,0,0,0,0,-1.0
74,0,101,28,135,0.6150420904159546
27,38,51,63,97,0.9202196002006531
169,213,197,237,89,0.26530689001083374
34,18,58,44,86,0.988937497138977
117,118,143,141,68,0.9699990153312683
92,128,119,152,30,0.9937882423400879
0,0,0,0,0,-1.0
74,1,102,28,135,0.6867206692695618
27,39,50,63,97,0.9514168500900269
170,215,200,239,89,0.6970801949501038
34,18,57,45,86,0.9932165741920471
191,211,218,237,79,0.2754106819629669
118,117,143,140,68,0.677064836025238
177,216,210,244,47,0.48375779390335083
92,128,118,152,30,0.9905064105987549
0,0,0,0,0,-1.0
74,1,102,27,135,0.6562370657920837
26,39,50,63,97,0.9403929114341736
169,214,199,240,89,0.9412199854850769
34,18,57,45,86,0.9893981218338013
191,211,218,236,79,0.6089764833450317
120,116,143,140,68,0.5346886515617371
177,217,210,244,47,0.28524506092071533
92,128,118,152,30,0.9886576533317566
0,0,0,0,0,-1.0
74,1,102,27,135,0.7589236497879028
26,39,51,63,97,0.8647565245628357
170,214,199,240,89,0.9436467289924622
34,18,58,45,86,0.9860753417015076
190,210,217,236,79,0.3097829222679138
119,115,143,139,68,0.46398672461509705
178,217,210,244,47,0.312694251537323
92,128,118,152,30,0.9892882704734802
0,0,0,0,0,-1.0
74,1,102,27,135,0.8367259502410889
27,40,50,64,97,0.9150985479354858
169,215,199,240,89,0.9444689154624939
34,18,58,45,86,0.9929121732711792
190,209,217,236,79,0.7061489224433899
119,115,143,139,68,0.46524038910865784
177,217,210,244,47,0.30247268080711365
92,128,118,152,30,0.9898722767829895
0,0,0,0,0,-1.0
74,1,102,27,135,0.7656716108322144
25,40,50,65,97,0.9495652914047241
170,215,199,240,89,0.8721529841423035
33,18,58,45,86,0.985867977142334
190,208,217,235,79,0.40016669034957886
120,114,144,139,68,0.8781901001930237
178,217,210,244,47,0.29013893008232117
92,128,118,152,30,0.984055757522583
0,0,0,0,0,-1.0
74,1,102,27,135,0.8147981762886047
25,41,49,66,97,0.9573014378547668
170,215,199,241,89,0.9428532123565674
33,19,58,45,86,0.9917341470718384
190,208,217,235,79,0.7857850193977356
119,114,143,138,68,0.6875673532485962
92,129,119,153,30,0.9883764386177063
0,0,0,0,0,-1.0
75,2,103,27,135,0.9075216054916382
24,42,49,67,97,0.9583797454833984
171,216,199,241,89,0.8705868124961853
33,19,57,45,86,0.9837079644203186
190,208,216,234,79,0.5996497869491577
119,114,143,137,68,0.7452466487884521
234,1,255,18,33,0.5139046907424927
93,129,119,153,30,0.9795640707015991
0,0,0,0,0,-1.0
75,2,103,27,135,0.9025861620903015
24,42,49,67,97,0.9809080958366394
170,216,199,241,89,0.9725513458251953
33,19,57,45,86,0.9855772852897644
190,207,216,234,79,0.7373034358024597
120,114,144,137,68,0.7377660870552063
93,129,119,153,30,0.9825473427772522
0,0,0,0,0,-1.0
75,1,102,27,135,0.8644224405288696
24,42,48,67,97,0.9111355543136597
171,216,200,241,89,0.8434894680976868
34,19,58,46,86,0.9883180856704712
189,208,215,233,79,0.5958247780799866
120,112,144,136,68,0.7491376996040344
230,1,254,21,33,0.5543025732040405
94,130,119,153,30,0.9606959819793701
0,0,0,0,0,-1.0
74,1,102,27,135,0.8920732736587524
23,43,48,67,97,0.9362848401069641
171,216,201,242,89,0.6646725535392761
35,20,58,46,86,0.9852717518806458
189,208,215,234,79,0.5819514989852905
120,112,144,136,68,0.8770714998245239
226,1,253,23,33,0.5571879744529724
94,130,119,153,30,0.9583625197410583
0,0,0,0,0,-1.0
74,1,102,27,135,0.9083576798439026
23,43,47,68,97,0.9647495746612549
171,216,201,242,89,0.5485219955444336
35,20,58,45,86,0.9856908321380615
189,208,215,235,79,0.6921024322509766
120,111,143,136,68,0.8268914222717285
230,1,254,21,33,0.5297508239746094
94,130,119,153,30,0.9586599469184875
0,0,0,0,0,-1.0
74,1,101,27,135,0.9604613184928894
24,43,47,68,97,0.9654701352119446
171,215,200,241,89,0.4372807443141937
35,19,59,46,86,0.9931347370147705
188,209,215,235,79,0.4691272974014282
120,111,143,135,68,0.9141982197761536
229,0,253,21,33,0.46154728531837463
94,130,119,153,30,0.9611310362815857
0,0,0,0,0,-1.0
75,1,101,26,135,0.8790450096130371
23,44,46,68,97,0.9169706106185913
171,215,200,240,89,0.39281579852104187
35,20,59,46,86,0.9924648404121399
188,209,215,235,79,0.5455405116081238
119,110,144,134,68,0.7652106881141663
228,1,253,21,33,0.4065520465373993
94,130,119,153,30,0.9615325331687927
178,217,209,246,15,0.38113707304000854
0,0,0,0,0,-1.0
75,1,101,26,135,0.7233509421348572
22,45,46,69,97,0.8884150385856628
35,20,59,46,86,0.9910023212432861
188,210,215,236,79,0.3913366496562958
121,109,144,133,68,0.7637732625007629
178,217,210,245,47,0.35554781556129456
225,2,252,23,33,0.8005022406578064
94,130,119,153,30,0.9625672698020935
178,217,210,245,15,0.32514527440071106
0,0,0,0,0,-1.0
75,1,101,27,135,0.8137806057929993
22,46,46,69,97,0.6800113320350647
170,213,198,238,89,0.38339412212371826
35,20,59,46,86,0.9886480569839478
188,210,215,237,79,0.6737692952156067
119,108,144,133,68,0.8736311197280884
224,2,251,23,33,0.747528612613678
94,130,119,153,30,0.9638204574584961
0,0,0,0,0,-1.0
75,1,101,27,135,0.8040775060653687
21,46,45,70,97,0.8805506825447083
35,19,59,45,86,0.9841447472572327
188,211,215,237,79,0.32293006777763367
119,108,144,132,68,0.8123074769973755
176,217,208,246,47,0.32790228724479675
224,1,250,22,33,0.3719533383846283
94,130,119,153,30,0.9623993635177612
0,0,0,0,0,-1.0
75,1,101,27,135,0.8220474720001221
21,47,45,70,97,0.8966805338859558
171,212,198,236,89,0.3093489110469818
36,19,60,45,86,0.9764299988746643
189,211,215,237,79,0.6167207956314087
119,108,144,132,68,0.8464813828468323
224,0,247,21,33,0.5176702737808228
94,130,119,153,30,0.9612043499946594
177,217,207,246,15,0.3125571310520172
0,0,0,0,0,-1.0
75,1,101,27,135,0.8155190944671631
20,47,45,70,97,0.8662480711936951
173,211,195,236,89,0.2711920738220215
36,19,61,44,86,0.9750840067863464
119,108,144,130,68,0.8370621204376221
223,1,247,21,33,0.6547753214836121
94,130,119,153,30,0.9635610580444336
178,217,208,246,15,0.34196171164512634
0,0,0,0,0,-1.0
75,2,101,27,135,0.8063416481018066
20,47,45,72,97,0.8550605773925781
171,211,198,236,89,0.2559848725795746
37,19,61,44,86,0.979835569858551
189,212,215,237,79,0.5812326669692993
118,107,144,131,68,0.930111825466156
222,1,247,21,33,0.4878774583339691
94,130,119,153,30,0.9617053270339966
0,0,0,0,0,-1.0
76,2,100,27,135,0.7144174575805664
20,48,44,73,97,0.8833638429641724
174,211,196,236,89,0.283354252576828
36,17,62,43,86,0.8832025527954102
189,213,216,238,79,0.4298303425312042
118,107,143,129,68,0.5741362571716309
221,2,245,21,33,0.601502001285553
94,130,119,153,30,0.9628013968467712
0,0,0,0,0,-1.0
76,2,100,26,135,0.6422209739685059
20,48,44,72,97,0.9489621520042419
36,18,61,43,86,0.9572141766548157
189,213,216,237,79,0.44343483448028564
119,106,142,129,68,0.3107040822505951
220,1,242,21,33,0.6031666398048401
94,130,119,154,30,0.9725075960159302
0,0,0,0,0,-1.0
76,2,100,26,135,0.8157269358634949
20,48,44,73,97,0.9691274166107178
36,18,61,43,86,0.9612149000167847
190,213,216,237,79,0.45227867364883423
118,105,143,129,68,0.615157425403595
219,1,242,22,33,0.47025150060653687
94,130,119,154,30,0.9748465418815613
0,0,0,0,0,-1.0
76,2,100,27,135,0.8919970393180847
19,49,44,74,97,0.970846951007843
36,18,61,44,86,0.9609397053718567
190,213,216,237,79,0.4170975387096405
118,105,143,128,68,0.7511046528816223
216,2,243,24,33,0.7376371622085571
94,130,119,154,30,0.9731319546699524
0,0,0,0,0,-1.0
76,2,100,27,135,0.871978759765625
19,50,44,74,97,0.9867702722549438
36,18,61,43,86,0.956265926361084
189,213,216,238,79,0.38516882061958313
118,104,142,128,68,0.6596503257751465
215,2,242,24,33,0.31708821654319763
94,130,119,154,30,0.9739781618118286
0,0,0,0,0,-1.0
76,2,100,27,135,0.8826811909675598
19,50,43,75,97,0.9919809103012085
36,18,61,43,86,0.9548029899597168
189,213,216,238,79,0.5702725052833557
117,104,142,128,68,0.8595744371414185
215,2,242,24,33,0.7483400702476501
94,130,119,154,30,0.9748876094818115
0,0,0,0,0,-1.0
76,2,100,26,135,0.820367157459259
18,50,43,75,97,0.9942214488983154
171,218,198,243,89,0.40012750029563904
36,17,62,43,86,0.9560747742652893
190,212,215,237,79,0.3193117380142212
117,103,143,127,68,0.900985062122345
214,1,240,24,33,0.5471067428588867
94,130,119,154,30,0.9715977907180786
0,0,0,0,0,-1.0
75,2,100,27,135,0.8922857046127319
18,51,43,76,97,0.9909214377403259
169,220,197,245,89,0.2533644437789917
36,18,62,43,86,0.93879234790802
189,211,215,237,79,0.5990961790084839
117,103,143,126,68,0.8838844895362854
213,2,238,24,33,0.36779844760894775
94,130,119,154,30,0.9683701395988464
0,0,0,0,0,-1.0
75,2,101,27,135,0.8118526935577393
18,52,43,77,97,0.9930198192596436
37,18,62,43,86,0.9620406031608582
189,211,215,237,79,0.4740296006202698
117,102,143,126,68,0.9205291867256165
212,2,237,23,33,0.687432050704956
94,130,119,154,30,0.9684308171272278
0,0,0,0,0,-1.0
75,2,101,27,135,0.7205808758735657
18,53,43,77,97,0.9584377408027649
187,219,213,247,91,0.26147058606147766
37,17,62,43,86,0.978929340839386
189,210,215,236,79,0.6591915488243103
116,101,142,125,68,0.9246187806129456
211,2,236,25,33,0.7428512573242188
94,130,119,154,30,0.9685518145561218
0,0,0,0,0,-1.0
76,2,100,27,135,0.7108132839202881
18,53,43,77,97,0.9770886898040771
172,221,199,245,89,0.439526230096817
37,17,64,43,86,0.9935502409934998
189,210,214,236,79,0.2962910830974579
117,100,142,125,68,0.8849543333053589
210,2,236,24,33,0.7865423560142517
97,130,122,154,30,0.8630917072296143
0,0,0,0,0,-1.0
75,2,100,27,135,0.7351633310317993
18,54,43,78,97,0.9693244695663452
173,219,199,244,89,0.4867191016674042
38,17,64,44,86,0.9964293837547302
117,101,142,124,68,0.890223503112793
209,2,236,25,33,0.6778791546821594
99,130,125,154,30,0.9082210659980774
0,0,0,0,0,-1.0
76,2,100,26,135,0.4651097059249878
18,55,43,78,97,0.9815322160720825
172,221,200,245,89,0.6580908298492432
38,17,64,44,86,0.996616005897522
118,100,140,124,68,0.7987073659896851
208,2,234,24,33,0.5486360788345337
102,130,127,154,30,0.9559786915779114
0,0,0,0,0,-1.0
76,2,100,26,135,0.41654476523399353
19,55,43,79,97,0.9722885489463806
173,220,200,245,89,0.8979710936546326
175,218,205,245,87,0.55003422498703
38,17,64,44,86,0.996845543384552
118,99,140,123,68,0.8758941292762756
207,2,233,24,33,0.7748526930809021
103,130,129,154,30,0.986560046672821
0,0,0,0,0,-1.0
76,2,100,26,135,0.2933330237865448
18,56,43,80,97,0.9800960421562195
173,221,199,245,89,0.8615182638168335
38,17,64,44,86,0.9969065189361572
116,98,139,123,68,0.8619126081466675
206,2,233,24,33,0.8453516960144043
103,130,129,154,30,0.9879615306854248
0,0,0,0,0,-1.0
76,2,100,26,135,0.5377601385116577
19,57,43,80,97,0.9828922748565674
173,220,198,245,89,0.9402987360954285
38,17,64,43,86,0.9969503283500671
175,218,203,244,81,0.30243584513664246
116,98,138,123,68,0.8848245143890381
206,2,231,24,33,0.8807024955749512
102,131,129,155,30,0.992499053478241
0,0,0,0,0,-1.0
76,2,100,26,135,0.8543474674224854
19,57,43,80,97,0.9255998134613037
173,220,199,245,89,0.8542775511741638
38,17,64,43,86,0.99722820520401
174,218,204,244,81,0.31033483147621155
114,98,139,123,68,0.8710148334503174
206,2,231,24,33,0.8095928430557251
102,131,129,155,30,0.9916269183158875
0,0,0,0,0,-1.0
233,1,255,18,145,0.27640101313591003
233,2,255,19,135,0.4224737584590912
18,58,43,82,97,0.9740009903907776
173,220,199,245,89,0.9435880780220032
38,17,64,44,86,0.9937543272972107
175,219,204,245,81,0.4093227684497833
115,98,138,122,68,0.8363658785820007
205,2,230,25,33,0.6683412790298462
102,131,129,155,30,0.9913789629936218
0,0,0,0,0,-1.0
232,1,255,17,145,0.2975523769855499
233,2,255,19,135,0.5107072591781616
18,58,43,83,97,0.9884417057037354
172,218,199,243,89,0.9361644387245178
38,17,64,43,86,0.9942843914031982
189,212,215,238,79,0.25803667306900024
114,97,138,122,68,0.9465386867523193
205,2,227,22,33,0.7650631070137024
102,131,129,155,30,0.9926414489746094
0,0,0,0,0,-1.0
233,1,255,17,145,0.2802625000476837
233,2,255,19,135,0.5245245099067688
18,58,43,83,97,0.9905632734298706
173,219,199,244,89,0.9404703378677368
38,17,64,43,86,0.9940505623817444
113,97,138,122,68,0.9509214758872986
204,2,227,22,33,0.8093975186347961
102,131,129,155,30,0.9919277429580688
0,0,0,0,0,-1.0
233,1,255,17,145,0.2626338303089142
233,2,255,19,135,0.551184356212616
18,59,43,84,97,0.9901490807533264
173,217,199,242,89,0.9179032444953918
38,17,64,43,86,0.9935091733932495
113,97,137,121,68,0.9690091609954834
203,2,226,23,33,0.6744551658630371
102,131,129,155,30,0.9913418889045715
0,0,0,0,0,-1.0
233,1,255,18,145,0.26847708225250244
232,2,255,19,135,0.5179986953735352
19,60,42,84,97,0.9522346258163452
173,217,199,242,89,0.888355553150177
38,17,64,43,86,0.9929981827735901
112,97,137,120,68,0.9380793571472168
201,3,225,25,33,0.6343322992324829
102,130,128,154,30,0.9718004465103149
0,0,0,0,0,-1.0
232,2,255,19,135,0.47876080870628357
19,60,42,85,97,0.9865822792053223
173,218,199,242,89,0.7673513293266296
38,17,64,43,86,0.9928668141365051
176,216,206,243,81,0.2766684591770172
112,97,136,120,68,0.5747532844543457
199,3,225,26,33,0.8047620058059692
102,130,128,154,30,0.9444177746772766
0,0,0,0,0,-1.0
233,1,254,18,145,0.2559643089771271
232,2,255,19,135,0.473219633102417
19,61,43,86,97,0.9855082035064697
173,218,199,242,89,0.7908489108085632
38,17,64,43,86,0.9920759797096252
113,96,136,121,68,0.6311274766921997
198,3,224,25,33,0.614961564540863
102,130,128,154,30,0.9754570126533508
0,0,0,0,0,-1.0
233,1,255,18,145,0.25893834233283997
233,2,255,19,135,0.4686172306537628
18,62,43,87,97,0.9755619764328003
173,219,199,243,89,0.4957030415534973
38,17,64,43,86,0.9919871687889099
190,211,217,238,79,0.3782598376274109
112,96,136,119,68,0.5085086822509766
197,2,224,25,33,0.9494178891181946
101,129,128,153,30,0.9831640124320984
0,0,0,0,0,-1.0
233,1,255,18,145,0.26738259196281433
232,2,255,19,135,0.47090303897857666
19,63,42,87,97,0.9888572096824646
173,219,199,243,89,0.699524998664856
38,17,64,43,86,0.9920210242271423
112,95,135,119,68,0.4300253987312317
197,2,223,24,33,0.8764380812644958
101,129,126,153,30,0.9808095693588257
0,0,0,0,0,-1.0
233,1,255,18,145,0.26286154985427856
232,2,255,19,135,0.4710244834423065
19,63,43,87,97,0.972855269908905
173,219,198,243,89,0.585172712802887
38,17,64,43,86,0.9922448396682739
110,95,135,119,68,0.675768256187439
196,2,221,25,33,0.9665322303771973
99,129,127,153,30,0.9795395731925964
0,0,0,0,0,-1.0
233,1,255,18,145,0.26281794905662537
233,2,255,19,135,0.48378247022628784
19,64,42,87,97,0.9663594961166382
173,220,199,244,89,0.8197100758552551
38,17,64,43,86,0.9917746186256409
192,211,217,236,79,0.342745304107666
110,95,135,118,68,0.6322922110557556
196,2,220,25,33,0.9191709160804749
99,128,125,153,30,0.9645537734031677
0,0,0,0,0,-1.0
232,2,255,19,135,0.48798367381095886
18,64,43,88,97,0.9867678880691528
173,220,199,244,89,0.7512461543083191
109,95,134,118,68,0.7077829241752625
193,2,224,26,33,0.6180840730667114
99,128,125,152,30,0.989045262336731
0,0,0,0,0,-1.0
36,15,69,44,148,0.3842132091522217
233,2,255,19,135,0.5191589593887329
193,2,224,27,123,0.43259161710739136
18,66,42,89,97,0.9679229259490967
173,220,199,244,89,0.9307400584220886
109,94,134,117,68,0.7875546216964722
193,2,224,27,33,0.9500585198402405
98,127,123,152,30,0.9816465377807617
0,0,0,0,0,-1.0
233,2,255,19,135,0.47117191553115845
18,66,43,89,97,0.9901688694953918
174,220,198,245,89,0.619265079498291
108,94,134,117,68,0.8338481783866882
37,16,70,45,62,0.5210386514663696
193,2,223,27,33,0.9843475222587585
98,128,123,151,30,0.9480118155479431
0,0,0,0,0,-1.0
233,1,255,18,145,0.255724161863327
233,2,255,20,135,0.44936591386795044
193,2,223,27,123,0.4218873679637909
18,66,43,89,97,0.9690651297569275
173,221,199,245,89,0.9282503724098206
108,93,133,117,68,0.9118295907974243
193,2,223,27,33,0.9899578094482422
97,127,122,151,30,0.9717341065406799
0,0,0,0,0,-1.0
233,2,255,20,135,0.45671460032463074
193,2,223,28,123,0.6707463264465332
18,67,42,90,97,0.9669533967971802
173,222,198,245,89,0.8042619824409485
107,93,134,116,68,0.8192548751831055
193,2,223,28,33,0.959087610244751
98,127,123,151,30,0.9803520441055298
0,0,0,0,0,-1.0
233,2,255,19,135,0.47132936120033264
19,67,42,91,97,0.9447652101516724
173,222,199,246,89,0.7836737036705017
39,14,66,43,86,0.25244030356407166
107,93,132,116,68,0.8464928865432739
194,2,223,27,33,0.9160066843032837
38,15,67,44,32,0.443254679441452
98,127,124,151,30,0.97953861951828
0,0,0,0,0,-1.0
192,218,218,245,141,0.36955204606056213
232,2,255,19,135,0.4752180576324463
18,67,43,91,97,0.966391921043396
173,221,198,246,89,0.325939416885376
39,13,67,43,86,0.2983892560005188
190,210,214,235,79,0.5397920608520508
106,92,132,116,68,0.7998450994491577
194,2,224,27,33,0.8645519614219666
38,15,67,44,32,0.5583832263946533
98,127,125,151,30,0.9745721817016602
0,0,0,0,0,-1.0
232,2,255,19,135,0.49727702140808105
19,68,43,93,97,0.9842556118965149
173,222,200,246,89,0.4609537422657013
38,14,66,43,86,0.47311708331108093
106,92,132,115,68,0.8809399008750916
193,2,224,27,33,0.9094619154930115
99,127,126,151,30,0.9579753875732422
0,0,0,0,0,-1.0
233,2,255,19,135,0.4780426621437073
18,68,43,94,97,0.9821810722351074
172,223,199,250,89,0.27248141169548035
38,15,66,43,86,0.4742598533630371
189,209,213,235,79,0.3136986196041107
106,91,131,115,68,0.7866349220275879
193,2,223,27,33,0.9913073182106018
99,127,126,151,30,0.9848560690879822
198,220,218,245,15,0.727904200553894
0,0,0,0,0,-1.0
233,1,255,18,145,0.2501491606235504
233,2,255,19,135,0.438768595457077
18,69,42,93,97,0.9852566719055176
173,220,204,253,89,0.4359639286994934
38,15,65,42,86,0.5058750510215759
190,210,214,236,79,0.29455241560935974
106,91,131,115,68,0.8224539160728455
193,2,223,26,33,0.9935312867164612
100,126,126,151,30,0.9882581830024719
198,220,220,245,15,0.6958734393119812
0,0,0,0,0,-1.0
233,2,255,20,135,0.43274354934692383
191,2,222,28,123,0.3372592329978943
18,69,42,94,97,0.9573019742965698
39,16,65,42,86,0.4039723575115204
190,210,214,235,79,0.4526480734348297
104,90,130,114,68,0.7626364827156067
193,2,222,27,33,0.9932640194892883
100,126,126,150,30,0.9704673290252686
198,220,219,245,15,0.7103531956672668
0,0,0,0,0,-1.0
233,2,255,20,135,0.44891297817230225
191,2,222,28,123,0.35680896043777466
18,70,42,95,97,0.9868886470794678
38,16,64,43,86,0.45573151111602783
190,210,214,235,79,0.3434658944606781
104,90,129,114,68,0.8740134835243225
193,2,222,28,33,0.9951353669166565
101,126,127,149,30,0.9765182137489319
199,221,220,246,15,0.7145582437515259
0,0,0,0,0,-1.0
233,2,255,19,135,0.4774770736694336
19,70,42,95,97,0.9709770083427429
174,222,203,252,89,0.43729168176651
38,16,63,44,86,0.3062373399734497
191,209,215,236,79,0.6599898338317871
104,90,129,113,68,0.8042901158332825
194,2,222,27,33,0.9320076107978821
101,126,127,150,30,0.9266493320465088
200,221,221,246,15,0.7705305218696594
0,0,0,0,0,-1.0
233,2,255,20,135,0.4807308614253998
18,71,42,96,97,0.9770674109458923
174,223,204,252,89,0.4594840109348297
38,15,64,44,86,0.33990392088890076
190,209,215,235,79,0.4593706727027893
103,89,129,113,68,0.8176780343055725
194,2,223,26,33,0.7421329617500305
101,126,127,150,30,0.934575080871582
200,221,221,246,15,0.7006734013557434
0,0,0,0,0,-1.0
233,2,255,20,135,0.4750106930732727
18,72,43,97,97,0.9870457053184509
174,223,204,252,89,0.7173435688018799
200,221,221,246,81,0.40820959210395813
191,210,216,236,79,0.6846689581871033
103,88,128,113,68,0.9130592942237854
194,2,223,25,33,0.9717855453491211
102,125,128,149,30,0.9434487819671631
200,221,221,246,15,0.7147524356842041
0,0,0,0,0,-1.0
233,1,255,18,145,0.25007402896881104
233,2,255,19,135,0.4621276557445526
174,221,203,248,107,0.28550833463668823
18,73,43,97,97,0.9848698973655701
174,222,204,252,89,0.31107035279273987
191,209,215,237,79,0.7208178043365479
102,89,127,113,68,0.9165882468223572
194,2,222,25,33,0.9945098161697388
101,125,128,149,30,0.9359753727912903
201,221,223,246,15,0.7790944576263428
0,0,0,0,0,-1.0
233,2,255,19,135,0.44530296325683594
18,73,42,97,97,0.9864113926887512
175,222,205,251,89,0.5422542691230774
191,210,215,237,79,0.4064534306526184
103,89,128,113,68,0.9310314655303955
174,221,204,248,51,0.2936982810497284
193,2,222,25,33,0.9953140616416931
102,125,128,149,30,0.9308237433433533
199,221,225,247,15,0.6750871539115906
0,0,0,0,0,-1.0
